Cell Cycle module;HSPC module;IMP module;EP  module;MkP  module;NP  module;EBM module;PreB module
MCM5;ARG2;SELL;CA1;GP1BB;MPO;CLC;JCHAIN
PCNA;ATP8B4;SPINK2;HBB;PLEK;RNASE2;HDC;DNTT
TYMS;BIRC3;CD52;LMNA;ITGA2B;ATP8B4;PRG2;CD79A
FEN1;BST2;HOPX;CD36;FCER1A;MPEG1;LMO4;LTB
MCM2;CD37;SLC52A3;BLVRB;GATA2;KCNE5;BACE2;MS4A1
MCM4;CD52;FUT6;APOE;SELP;FAM46A;AKAP12;VPREB1
RRM1;CEBPB;AVPR1B;RHAG;PDLIM1;AKR7L;ALOX5AP;DDIT4
UNG;CLEC2B;MBOAT7;AHSP;SLC40A1;RAB32;ANGPT2;LAT2
GINS2;COX6B1;AVP;PKLR;ARHGAP6;CLEC5A;ENPP3;MME
MCM6;CRHBP;HOXB5;CNRIP1;ABHD4;PCNX;GATA2;BLNK
CDCA7;CYBRD1;PIK3IP1;KLF1;SOD2;TBC1D12;TPSB2;RASD1
DTL;FAM198B;RBPMS;APOC1;C6orf25;ATXN7L1;EPX;TNFRSF4
PRIM1;FAM30A;KIAA1462;KCNH2;AOAH;SERTAD2;CXCR4;CCR7
UHRF1;FOSB;GBP2;CA2;GMPR;SEPT1;TPSAB1;FCMR
MLF1IP;GATA3;CRHBP;FAM178B;RGS18;RFX8;MS4A2;CD22
HELLS;GBP2;MMP2;FAM89A;VWF;GPI;ALOX5;DFNA5
RFC2;GIMAP6;HTR1B;REXO2;FERMT3;GJA9;NR4A3;UMODL1
RPA2;GUCY1A3;CD34;TFR2;MINPP1;HYOU1;TPSD1;IL7R
NASP;GUCY1B3;ADGRG6;SELENBP1;ALOX12;SLC22A15;LTBP1;CNTNAP2
RAD51AP1;H1F0;DMKN;EPCAM;GFR1;BTBD6;HPGD;KCNK17
GMNN;HIST1H1C;KIAA0125;PLIN2;ST6GAL2;MT-ND6;NTRK1;FAM129C
WDR76;HIST1H2AE;PROM1;TGM2;ITGB3;SNX24;SLC18A2;CAPG
SLBP;HIST1H2BC;MZB1;CDH1;GP1BA;CD81;LTC4S;SH2D3C
CCNE2;HIST1H2BD;FLT3;ADD2;PTGS1;AFF2;SRGN;DUSP4
UBR7;HIST1H2BF;PRDM16;GFI1B;ABCC4;FAM201A;TPCN1;CLNK
POLD3;HIST1H2BG;NPM2;GATA1;HEMGN;AZU1;SLC45A3;EBF1
MSH2;HIST1H2BK;HLA-E;GPT;BAG3;ELANE;CD63;CYTH4
ATAD2;HIST1H3D;RCSD1;TMEM56;MPL;PRTN3;TTLL7;TMEM200A
RAD51;HIST1H3H;PRKCZ;TFRC;TRPC6;CFD;ATP10D;LCN10
RRM2;HIST2H2AA3;CSF3R;UROD;SLC9A9;SRGN;VCAN;CYFIP2
CDC45;HIST2H2BE;BMP4;EPB42;PBX1;LYST;MS4A3;CYGB
CDC6;HLA-DQA1;BIN1;CAST;LTBP1;RNASE2;SYTL3;CD52
EXO1;HLA-DQB1;SCML4;RFESD;GUCY1B3;MS4A3;LYPD6B;SATB1
TIPIN;HLA-E;JUP;ANK1;LAPTM4B;ANKRD18A;ARSG;STK17B
DSCC1;HLF;GLIPR1;FECH;SEMA3C;RNASE3;ERVFRD-1;CORO1A
BLM;HOPX;DUSP10;NFIA;TUBB1;MPO;FCER1A;SH3TC1
CASP8AP2;HOXB3;EMCN;MPC2;RAMP1;CTSG;TTC27;IL2RA
USP1;HSPB1;NOXA1;FBXO7;TC2N;SERPINB10;CSF2RB;FCRL1
CLSPN;IDI1;C6orf141;MYC;SETP5;F13A1;CYP4F22;SP140
POLA1;IDS;ABLIM1;APOL4;IFITM2;HGF;ETS1;MMP11
CHAF1B;IL6ST;GNG11;SCPEP1;PLXDC2;MNDA;NMT2;NCF1
BRIP1;INPP4B;COL5A1;TMOD1;RAP1B;BZRAP1;SEMA3C;SASH3
E2F8;KIAA0125;PBXIP1;SLC39A8;MEIS1;CST7;ANXA1;LGMN
HMGB2;KLF2;NOG;S100A6;MED12L;CEBPA;TEF;CD79B
CDK1;KLF4;GATA3;HBD;GCSAML;CSTA;ERN1;SLC43A2
NUSAP1;LIMCH1;SIGLEC17P;G0S2;PTAFR;CPA3;TMEM125;NEGR1
UBE2C;LOC144481;PRKCH;A4GALT;GATA1;CSF3R;CERKL;ADA
BIRC5;LOC283070;PREX2;ATPIF1;RNF130;PLPPR3;SLC2A10;HLA-DOB
TPX2;LOC404266;VWA5A;NDFIP2;SDPR;TPT1;GLUL;ITGB7
TOP2A;MECOM;GIMAP6;LPCAT3;GP9;LPO;KCNJ14;LCK
NDC80;MLLT3;SLCO5A1;HBS1L;LIMS1;KBTBD11;SLC24A3;ETS1
CKS2;MMRN1;TMEM140;ALAD;SLC44A1;CALR;PLD1;BLK
NUF2;MPL;JAML;SPTA1;RSU1;MT-ND1;RGS2;CD96
CKS1B;NPR3;CTSF;CASP3;DEPTOR;CEBPD;SLC2A6;CCDC141
MKI67;NRIP1;C9orf139;PRDX2;CMTM5;LYZ;PNMAL2;ROBO1
TMPO;PBXIP1;SIGLEC15;PNPO;DNM3;MT-ND6;RUNX1;CRLF2
CENPF;PDGFD;PMEPA1;UBAC1;COL2A1;MT-ND2;ASRGL1;IL2RG
TACC3;PGM5;ACOX2;HOOK1;ANGPT1;CLEC5A;HIPK2;STAP1
FAM64A;PLS3;SNX33;HIGD1A;FREM1;FAM46A;KDM6B;CLEC2D
SMC4;PPM1F;ALS2CL;CTTN;TMEM246;FAM201A;KCTD1;ARL4C
CCNB2;PRKCH;IFITM1;HSD3B7;NME8;NAP1L1;CKAP4;ID3
CKAP2L;RAPGEF2;SEPP1;UBXN10;TIMP3;HAL;ZCCHC24;CD53
CKAP2;RBPMS;OXT;STRADB;BIN2;DIAPH2;PDZK1IP1;TP53I11
AURKB;ROBO4;PDLIM2;TMEM14C;F2RL3;RPL9;NT5DC2;SOCS1
BUB1;SEC62;BST2;HES6;TESPA1;C1QTNF4;SLC4A8;SLC9A3R1
KIF11;SPINK2;SLC2A5;ELOVL6;ADRA2A;RGCC;DHRS9;SLC38A1
ANP32E;SPTBN1;SCAMP5;GAD1;FAM65C;LRP3;PTGS2;LY9
TUBB4B;TFPI;TK1;TPGS2;CD164;TLR4;JPH4;MZB1
GTSE1;TIPARP;TMEM92;RAB3IL1;PIM1;SLC22A15;DLG5;EPB41L1
KIF20B;TNFSF10;SPINK2;CDC42EP4;NRIP1;ERO1B;DACT1;SH3BP5
HJURP;TRIM8;TYMS;TXNL1;FKBP10;FUT4;TNFRSF6B;ACY3
CDCA3;;ASF1B;DNAJA4;IL1B;B4GALT5;;TNF
HN1;;MDK;CSF1;DAD1;RAB32;;TNFAIP3
CDC20;;LYNX1;SMIM10;TPST1;MGST1;;SPINK2
TTK;;PKMYT1;ALDH1A1;PRKCQ;ATP8B4;;CAMK2D
CDC25C;;HIST1H4C;GLRX;TSPAN15;RPS24;;RCSD1
KIF2C;;PHGDH;ARV1;TPM1;MARC1;;PTPRCAP
RANGAP1;;TUBB;SLC25A21;ATP6V0A2;RPS13;;SDK2
NCAPD2;;RRM2;FAM83D;SLC10A5;FAM101B;;IL24
DLGAP5;;PCNA;SMIM1;EHD3;SLC17A9;;MN1
CDCA2;;MCM7;FAM210B;DHRS9;HRH2;;LRRC26
CDCA8;;FANCD2;GRTP1;MGLL;SLC2A5;;CLIP2
ECT2;;LIG1;SLC38A5;LOX;RPS4X;;ID2
KIF23;;FEN1;ACHE;CLU;CLEC11A;;GPR150
HMMR;;TUBA1B;MBOAT2;AMHR2;PIWIL4;;FUT7
AURKA;;TYRO3;ITGB1;ANXA3;CSGALNACT1;;PRF1
PSRC1;;MCM4;ZFP36L1;ST8SIA6;TMEM170B;;SLC30A4
ANLN;;MORC4;EPOR;FLI1;RAB44;;ITGA4
LBR;;ACE;TNFRSF25;PROS1;HOMER3;;LAIR1
CKAP5;;SELL;OAT;GPR141;NOV;;KIAA0125
CENPE;;CDC45;TNFAIP6;SERPINB1;HIPK1;;PAG1
CTCF;;KIAA1161;CCT6A;VCL;CERS6;;SCML4
NEK2;;MFAP4;KEL;EFNB2;CLEC12A;;TLE1
G2E3;;CD52;HMBS;SPX;DENND4A;;ITGAL
GAS2L3;;MYBL2;AK6;KIFC3;RPLP2;;CEACAM21
CBX5;;MCM3;SLC25A15;DHRS3;MT-ND3;;MED13L
CENPA;;ZWINT;ACSS1;RAB27B;CEBPE;;ARL5C
;;TRIM47;ALAS2;SLA2;NDRG1;;PPP1R18
;;KIAA0101;SEC14L2;ZBTB16;TXLNGY;;CARD11
;;CHAF1A;ENG;WFDC1;PABPC3;;ARRDC3
;;MCM2;MINPP1;DKK1;KCNJ9;;ZAP70
;;BATF3;PCCB;TMBIM1;ANKRD11;;SCN3A
;;GINS2;FHL2;CHST7;VAMP5;;SEPT1
;;CENPH;PPA2;DFFB;ALCAM;;HMHA1
;;AVP;PNMT;DTD1;KIAA0930;;CD200
;;TMEM106C;EMP3;MPP1;CENPB;;FRMD4A
;;TCF19;SLC10A4;ITPKA;GRIP1;;RGS1
;;NUSAP1;CXADR;PRKACB;PABPC1;;KIF17
;;SPC25;MFSD2B;TAGLN2;IRAK3;;BIN1
;;RFC4;;FAM150B;TNFSF13B;;ADD3
;;IL17D;;CD226;CHSY1;;BAALC
;;MCM10;;CD9;TLR2;;ACTG1
;;PKM;;PPBP;ADRBK1;;MEF2A
;;SKA3;;;MYCBP2;;LILRB1
;;RMI2;;;POLR3B;;TNFSF8
;;FAM111B;;;APLP2;;VPREB3
;;;;;DDX17;;MTUS1
;;;;;DENND3;;LSP1
;;;;;RPL28;;NEIL1
;;;;;IGFBP2;;S1PR1
;;;;;EREG;;CEACAM1
;;;;;PRAM1;;IQCA1
;;;;;FCGR1A;;RDH5
;;;;;ODF3B;;SLC23A1
;;;;;RPL39;;CXXC5
;;;;;AIFM2;;OLFML1
;;;;;FAM120A;;CCR10
;;;;;IGLL1;;C5orf56
;;;;;TSPAN16;;DNAH10
;;;;;RPS8;;TNC
;;;;;TOP1MT;;ST6GALNAC2
;;;;;PRSS57;;PRKD2
;;;;;LYZ;;SYNE1
;;;;;EGR1;;ZFP37
;;;;;CEBPD;;EFNA4
;;;;;CSTA;;GAS7
;;;;;LGALS1;;DGKA
;;;;;SAMHD1;;SECTM1
;;;;;KCNE5;;CSRNP1
;;;;;FOSB;;SPON2
;;;;;CFD;;ZNF608
;;;;;IGSF6;;AHRR
;;;;;KIAA0930;;TRAF5
;;;;;LY86;;MDFIC
;;;;;MNDA;;CD72
;;;;;CSF1R;;ZCCHC7
;;;;;FOS;;PIK3AP1
;;;;;ANXA2;;CYBB
;;;;;VIM;;EFNA1
;;;;;MS4A6A;;HOPX
;;;;;RASSF4;;TLR10
;;;;;ZFP36;;LIME1
;;;;;RNASE2;;IPCEF1
;;;;;STAB1;;LY86
;;;;;FOSL2;;SOX4
;;;;;LYST;;HS3ST3B1
;;;;;FGD2;;NKD2
;;;;;IL17RA;;IL17RE
;;;;;MPO;;SHISA2
;;;;;MCL1;;TMSB4XP4
;;;;;RAB31;;DNTT
;;;;;TIFAB;;VPREB1
;;;;;MTMR11;;EBF1
;;;;;RETN;;HHIP
;;;;;HRH2;;CTGF
;;;;;F13A1;;BLNK
;;;;;CD93;;VPREB3
;;;;;IL6R;;CYGB
;;;;;TYROBP;;ID3
;;;;;KLF4;;UBASH3B
;;;;;PLAC8;;PLCH1
;;;;;MEF2D;;CLEC14A
;;;;;IL13RA1;;LCK
;;;;;LILRB4;;MME
;;;;;FGR;;ATP13A4
;;;;;PRKCD;;IL7R
;;;;;SERPINB8;;DDIT4
;;;;;KCTD12;;KLHL25
;;;;;CITED4;;PVRIG
;;;;;SRGN;;IGLL1
;;;;;HCST;;CHST15
;;;;;CPM;;TNF
;;;;;PLD4;;PDE9A
;;;;;RHOU;;GIMAP4
;;;;;SETD7;;SH2D1A
;;;;;FCER1G;;NKAPL
;;;;;S100A9;;SASH3
;;;;;GABARAP;;CLNK
;;;;;JUN;;SH3TC1
;;;;;TNFAIP2;;MTUS1
;;;;;TMSB10;;LTB
;;;;;MAPKAPK2;;CD6
;;;;;CSF2RA;;WFS1
;;;;;CYBA;;LAT2
;;;;;RNASE6;;PLK2
;;;;;PRTN3;;SLC5A5
;;;;;BZRAP1;;UMODL1
;;;;;TIMP2;;CD19
;;;;;IRF8;;PHGDH
;;;;;RBM47;;LPXN
;;;;;AZU1;;ATF3
;;;;;BRI3BP;;ZNF778
;;;;;GRN;;AKAP12
;;;;;CAPN3;;TMEM200A
;;;;;S100A8;;SLFN5
;;;;;TYMP;;CD79B
;;;;;KLF6;;RAPGEF5
;;;;;ATP8B4;;PAM
;;;;;CCR2;;FAM134B
;;;;;RAB11FIP1;;PRR19
;;;;;NLRP3;;ADA
;;;;;MT-ND6;;BBC3
;;;;;MYCBP2;;CD79A
;;;;;FAM107B;;ARPP21
;;;;;SPI1;;GPR171
;;;;;PRAM1;;TCF4
;;;;;PTPRJ;;P2RY10
;;;;;NR4A2;;CERS4
;;;;;ARHGEF40;;SLC43A2
;;;;;SIRPA;;CD52
;;;;;SFMBT2;;RCSD1
;;;;;ITGB2;;HS3ST3B1
;;;;;CHD3;;RASD1
;;;;;NETO2;;NLRP12
;;;;;P2RY2;;FAM180B
;;;;;ODF3B;;ARL5C
;;;;;SERPINB2;;BTBD6
;;;;;NAIP;;CBX7
;;;;;ZYX;;DFNA5
;;;;;PLB1;;JCHAIN
;;;;;ADRBK1;;NEGR1
;;;;;SEMA4A;;SLC16A13
;;;;;LST1;;SMTN
;;;;;RPL28;;
;;;;;CD48;;
;;;;;GPR18;;
;;;;;ZNF503;;
;;;;;NT5DC2;;
;;;;;SLC8A1;;
;;;;;SIRPB2;;
;;;;;NFAM1;;
;;;;;CXCR4;;
;;;;;KLF2;;
;;;;;KLHDC7B;;
;;;;;HNMT;;
;;;;;CACNA2D3;;
;;;;;AK4;;
;;;;;ADRB2;;
;;;;;LRRC8C;;
;;;;;SLC17A9;;
;;;;;RGCC;;
;;;;;ZNF106;;
;;;;;B3GNT7;;
;;;;;GAS7;;
;;;;;NKG7;;
;;;;;TREM1;;
;;;;;MBD2;;
;;;;;CSGALNACT1;;
;;;;;PTGIR;;
;;;;;LPO;;
;;;;;ENC1;;
;;;;;HLA-DMB;;
;;;;;TNFRSF1B;;
;;;;;MS4A3;;
;;;;;GPR183;;
;;;;;WDR49;;